location,vertebrae
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,53
2,49
2,49
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,50
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
2,51
